Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
61702db6524868e98cbf2cd6,5f97e6601f6d0e016087fc91,APPROVED,2021-10-20T14:54:46.260000Z,2021-10-20T15:38:46.201000Z,2021-10-20T15:54:10.711000Z,,2640,84331F77,1001,"English, Polish, German",29,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
61702db903db21be99a2f455,60fb0cd3aa10c5ef5100190b,APPROVED,2021-10-20T14:55:54.037000Z,2021-10-20T15:39:20.826000Z,2021-10-20T15:44:46.117000Z,,2607,84331F77,175,"English, Portuguese",23,Male,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED
61702db94a723a330fdf86cc,60b6c415dbda3236ea22455a,APPROVED,2021-10-20T14:55:50.686000Z,2021-10-20T15:13:54.296000Z,2021-10-20T15:13:54.496000Z,,1084,Manual Completion,582,"English, Turkish",32,Female,White,Turkey,Spain,Turkey,Turkish,No,Unemployed (and job seeking)
61702dba0c61433cbc9c469c,60d09e0e759e1a77b2e69b38,APPROVED,2021-10-20T14:55:11.696000Z,2021-10-20T15:06:09.853000Z,2021-10-20T15:06:10.069000Z,,659,Manual Completion,163,"English, Galician, Spanish, Catalan",25,Male,White,Spain,Spain,Spain,Spanish,DATA_EXPIRED,DATA_EXPIRED
61702dbbd7b421cc772c5f3f,6140ef8d27499e70e8740918,APPROVED,2021-10-20T14:55:14.734000Z,2021-10-20T15:38:09.126000Z,2021-10-20T15:44:49.626000Z,,2575,84331F77,387,"English, Portuguese",22,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
61702dbc5432ffa16b55c7b9,5ff1c44bfef4d15dbc331ace,APPROVED,2021-10-20T14:54:52.314000Z,2021-10-20T15:39:00.276000Z,2021-10-20T15:54:08.827000Z,,2648,84331F77,130,"English, Greek",38,Male,White,Greece,Greece,Greece,Greek,DATA_EXPIRED,DATA_EXPIRED
61702dbc5b0cad570f99ef35,5d1a69d8f97a18001977e0d7,APPROVED,2021-10-20T14:54:55.014000Z,2021-10-20T15:38:12.532000Z,2021-10-20T15:45:03.002000Z,,2598,84331F77,2784,English,46,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
61702dbc5fe738affb750bb8,615c52cd7405beacc21518af,APPROVED,2021-10-20T14:54:58.594000Z,2021-10-20T15:37:58.346000Z,2021-10-20T15:44:58.044000Z,,2580,84331F77,172,"Dutch, English",22,Male,White,Netherlands,Netherlands,Netherlands,Dutch,DATA_EXPIRED,DATA_EXPIRED
61702dbc631a556bae86ba2d,5fe3932b8d3c668577f04f13,APPROVED,2021-10-20T14:54:52.684000Z,2021-10-20T15:03:32.950000Z,2021-10-20T15:03:33.066000Z,,521,Manual Completion,550,"English, Greek",21,Female,White,Greece,Greece,Greece,Greek,Yes,Unemployed (and job seeking)
61702dbc96fc0657804adb1e,6148afc156c049b69cde0d5e,APPROVED,2021-10-20T14:55:08.307000Z,2021-10-20T15:38:37.608000Z,2021-10-20T15:44:50.957000Z,,2610,84331F77,163,"Catalan, English, Italian, Spanish",21,Female,White,Spain,Spain,Spain,Catalan,Yes,Part-Time
61702dbce9dcdaeb27c13297,60cf96410c586ad8683ee49d,APPROVED,2021-10-20T14:55:06.925000Z,2021-10-20T15:38:04.693000Z,2021-10-20T15:44:53.183000Z,,2578,84331F77,172,"English, Vietnamese",27,Female,Asian,Vietnam,Netherlands,Vietnam,Vietnamese,Yes,Full-Time
61702dbd0b4d46877813d34f,5fb291cdd0a22f8b1fe4dca2,APPROVED,2021-10-20T14:54:53.708000Z,2021-10-20T15:39:10.246000Z,2021-10-20T15:56:54.286000Z,,2657,NOCODE,51,"Portuguese, Spanish, English",21,Female,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED
61702dbd4d21ced470798693,61644ca41793dcbb44e63410,APPROVED,2021-10-20T14:56:13.892000Z,2021-10-20T15:39:14.779000Z,2021-10-20T15:44:44.411000Z,,2581,84331F77,313,"Polish, English",38,Male,White,Poland,United Kingdom,Poland,Japanese,No,DATA_EXPIRED
61702dbd6b5c2d41a845d6c6,6106e5fa2185277b70b2dc45,APPROVED,2021-10-20T14:55:00.125000Z,2021-10-20T15:01:32.707000Z,2021-10-20T15:01:32.895000Z,,393,Manual Completion,183,"Dutch, English",24,Female,White,Netherlands,Netherlands,Netherlands,Dutch,DATA_EXPIRED,DATA_EXPIRED
61702dbd7887bec754136083,60e43d16eb3536f1618652fb,APPROVED,2021-10-20T14:55:04.569000Z,2021-10-20T15:37:10.763000Z,2021-10-20T15:44:54.759000Z,,2527,84331F77,444,English,37,Male,White,Ireland,Ireland,Ireland,English,No,Unemployed (and job seeking)
61702dbda6f1c2bcf7e456c6,5dc5c4b99e40c94387aeb4e5,APPROVED,2021-10-20T14:54:53.670000Z,2021-10-20T15:38:24.812000Z,2021-10-20T15:53:56.954000Z,,2612,84331F77,268,"English, Italian",26,Male,White,Italy,Italy,Italy,Italian,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
61702dbdd00d82c4715696b8,6130d846086f43ecd225d128,APPROVED,2021-10-20T14:54:53.307000Z,2021-10-20T15:39:06.667000Z,2021-10-20T15:54:00.820000Z,,2654,84331F77,441,"English, Portuguese",26,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
61702dbdd751d7469e0ad075,5ea936e503a71a000af12d7b,APPROVED,2021-10-20T14:54:53.121000Z,2021-10-20T15:38:19.983000Z,2021-10-20T15:54:03.206000Z,,2607,84331F77,517,"English, Polish, Russian, Ukrainian, German",26,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,Full-Time
61702dbdfdeee3c8c0ba7846,5e9c29a39c157d14227afac8,APPROVED,2021-10-20T14:54:53.793000Z,2021-10-20T15:38:33.722000Z,2021-10-20T15:53:52.693000Z,,2620,84331F77,328,"English, Portuguese",24,Male,White,Portugal,Portugal,Portugal,English,DATA_EXPIRED,DATA_EXPIRED
61702dbe3b13c83837bafb33,60a3b749c2b5ed839a4421b7,APPROVED,2021-10-20T14:55:01.404000Z,2021-10-20T15:38:39.800000Z,2021-10-20T15:44:55.420000Z,,2619,84331F77,259,"Polish, English",22,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,Unemployed (and job seeking)
61702dbe8a43eb209fb2f277,5da9b30a3624c200157bd9f0,APPROVED,2021-10-20T14:54:54.066000Z,2021-10-20T15:32:36.445000Z,2021-11-10T16:08:09.981000Z,,2263,No code,228,"English, Portuguese",31,Male,White,Portugal,Portugal,Portugal,Portuguese,No,DATA_EXPIRED
61702dbe96fc0657804adb1f,614782b3984210a92c787d6d,APPROVED,2021-10-20T14:55:07.445000Z,2021-10-20T15:38:10.388000Z,2021-10-20T15:54:56.559000Z,,2583,NOCODE,609,English,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
61702dbec4cc09a1535e1d62,5702c03e68c641000e0d754d,APPROVED,2021-10-20T14:54:54.595000Z,2021-10-20T15:38:58.758000Z,2021-10-20T15:45:03.903000Z,,2645,84331F77,1169,English,51,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
61702dbef6a93c8d7a137dab,603e3568d8a95be3fe743071,APPROVED,2021-10-20T14:55:28.954000Z,2021-10-20T15:38:27.752000Z,2021-10-20T15:44:48.799000Z,,2579,84331F77,369,"English, German, Polish",24,Female,White,Poland,Poland,Poland,Polish,Yes,Full-Time
61702dbf30b3beca029e610e,60659fa1c158d333d9ec89b8,APPROVED,2021-10-20T14:55:05.502000Z,2021-10-20T15:38:16.155000Z,2021-10-20T15:44:53.923000Z,,2591,84331F77,1012,English,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
61702dbf34e21c9bffab9868,6119272eab990f2cad815a38,APPROVED,2021-10-20T14:54:56.406000Z,2021-10-20T15:37:56.194000Z,2021-10-20T15:44:58.515000Z,,2580,84331F77,173,"English, Italian, Polish",20,Male,White,Poland,Poland,Poland,Polish,Yes,Part-Time
61702dbfc68ae9aa130f25f3,612520bd6605794b27e6a0fd,APPROVED,2021-10-20T14:54:55.077000Z,2021-10-20T15:39:13.380000Z,2021-10-20T15:45:02.356000Z,,2659,84331F77,609,"English, Portuguese, Spanish",36,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
