Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
60ae7fd5eaba666e1a9d6788,60a2d1593f270f92fa69305d,APPROVED,2021-05-26T17:05:25.593000Z,2021-05-26T17:54:35.515000Z,2021-05-26T18:15:51.980000Z,,2950,NOCODE,192,"English, Spanish, Portuguese",22,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
60ae7fd8dcdb2223606d0f72,5fbab1b8266280ad6e6e13c7,APPROVED,2021-05-26T17:06:00.626000Z,2021-05-26T18:07:31.014000Z,2021-05-26T18:16:55.628000Z,,3691,84331F77,378,"Dutch, English, Italian",29,Male,White,Netherlands,Germany,Netherlands,Dutch,Yes,Full-Time
60ae7fda07e206765ab49aee,607a981a8b7874690d597c0d,APPROVED,2021-05-26T17:06:07.054000Z,2021-05-26T17:59:35.728000Z,2021-05-26T18:17:08.289000Z,,3209,NOCODE,63,"English, French",23,Female,White,Ireland,Ireland,Ireland,English,DATA_EXPIRED,DATA_EXPIRED
60ae7fdb3c29ae9a7b0ee463,60a90be1be2d42fba2368523,APPROVED,2021-05-26T17:08:33.011000Z,2021-05-26T18:04:54.897000Z,2021-05-26T18:17:14.902000Z,,3382,84331F77,126,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
60ae7fdc412eccc7f612a458,609101a8a29bc713a6bcdbba,APPROVED,2021-05-26T17:06:06.570000Z,2021-05-26T18:01:48.831000Z,2021-05-26T18:17:17.361000Z,,3343,cc=84331F77,305,English,40,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
60ae7fdce4d283d68b54ac4d,5f60713e595007000a8e1da7,APPROVED,2021-05-26T17:05:32.574000Z,2021-05-26T18:00:32.938000Z,2021-05-26T18:17:19.632000Z,,3301,84331F77,546,"Czech, English, German, Polish, Russian",25,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,Full-Time
60ae7fde58ee802e1d912ad8,608c2f0f1df309615f6f5b52,APPROVED,2021-05-26T17:05:34.237000Z,2021-05-26T18:04:35.704000Z,2021-05-26T18:17:37.780000Z,,3542,NOCODE,81,"Portuguese, Spanish, English",27,Male,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED
60ae7fde8d19b23fffff236c,5f591c6d75be841230aa6ced,APPROVED,2021-05-26T17:05:34.054000Z,2021-05-26T18:02:47.862000Z,2021-05-26T18:17:44.862000Z,,3434,84331F77,379,"English, Polish",22,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
60ae7fdeff3ec530748ef69e,5eea1be10e95520beb9fa654,APPROVED,2021-05-26T17:05:34.160000Z,2021-05-26T17:56:48.447000Z,2021-05-26T18:18:03.987000Z,,3075,3D447610,1879,English,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
60ae7fdf450350ba5b707175,57843b986475d400015a8e45,APPROVED,2021-05-26T17:05:35.991000Z,2021-05-26T17:53:47.452000Z,2021-05-26T18:19:30.370000Z,,2892,NOCODE,2009,English,26,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
