Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63bee27ad6fc9269fd410752,5f2ef7740f87702b99055397,APPROVED,2023-01-11T16:23:28.728000Z,2023-01-11T16:50:14.816000Z,2023-01-12T16:39:56.761000,2023-01-11T16:50:15.290607Z,1607,377F04C1,125,25,Female,Mixed,Mexico,Mexico,Mexico,Spanish,Yes,Full-Time
63bee27c3845843d44c67b21,5ee3b4afc682de05d2072fa9,APPROVED,2023-01-11T16:23:46.441000Z,2023-01-11T16:45:35.126000Z,2023-01-12T16:39:58.734000,2023-01-11T16:45:35.565550Z,1309,377F04C1,134,25,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
63bee284ee793ef3227023f3,6100629106ea3defab45abe5,APPROVED,2023-01-11T16:27:57.360000Z,2023-01-11T16:57:13.407000Z,2023-01-12T16:40:07.468000,2023-01-11T16:57:13.831142Z,1757,377F04C1,16,25,Female,White,Mexico,Mexico,Mexico,Spanish,Yes,Due to start a new job within the next month
63beee0a9f1fa7c426415814,61011efb0639c55ef85d128a,APPROVED,2023-01-11T17:12:49.122000Z,2023-01-11T17:33:51.835000Z,2023-01-12T16:40:08.418000,2023-01-11T17:33:52.730059Z,1263,377F04C1,122,21,Female,White,Poland,Poland,Poland,Polish,Yes,Part-Time
63bfef58d9a5822d20341514,6163a3c7287d2abea6664371,APPROVED,2023-01-12T11:30:32.789000Z,2023-01-12T11:56:32.563000Z,2023-01-12T16:40:11.752000,2023-01-12T11:56:32.931416Z,1560,377F04C1,111,21,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
63bfef5973efefa9d377f1ac,60ddccc093c570b80c0f72ef,APPROVED,2023-01-12T11:30:33.330000Z,2023-01-12T11:57:26.176000Z,2023-01-12T16:40:12.443000,2023-01-12T11:57:27.113204Z,1613,377F04C1,137,21,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
63bfef61266c02567d74bc24,6164a16e7e3cfad826f0fd4c,APPROVED,2023-01-12T11:32:34.839000Z,2023-01-12T12:14:43.894000Z,2023-01-12T16:40:15.989000,2023-01-12T12:14:44.284226Z,2530,377F04C1,133,31,Male,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
63bfef614da726910085bfef,60a2bf8caed2e8c3b108588b,APPROVED,2023-01-12T11:30:41.282000Z,2023-01-12T16:44:28.918000Z,2023-01-12T16:44:29.862000Z,,18828,Manual Completion,82,21,Male,Black,South Africa,South Africa,South Africa,Other,DATA_EXPIRED,DATA_EXPIRED
63bfef728a7eba52e7f422d0,61605fc15772d31f8cc51eeb,APPROVED,2023-01-12T11:31:13.720000Z,2023-01-12T12:37:58.229000Z,2023-02-02T00:01:04.267000,2023-01-12T12:37:58.737548Z,4005,NOCODE,19,34,Male,Black,Malawi,South Africa,Malawi,English,No,Unemployed (and job seeking)
63bfef77d6dd8a9289d25c6f,6164355f56c75bcb717c7c2a,APPROVED,2023-01-12T11:31:14.508000Z,2023-01-12T11:52:08.174000Z,2023-02-02T00:00:56.803000,2023-01-12T11:52:08.614279Z,1254,NOCODE,28,21,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
63bfef78575de1a69dc4cb8f,616658f6aa85fdf6af93e9cb,APPROVED,2023-01-12T11:33:41.519000Z,2023-01-12T12:09:10.421000Z,2023-01-12T16:40:17.906000,2023-01-12T12:09:11.074379Z,2129,377F04C1,42,31,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,Full-Time
63bfef8063a6a4a6d1cdc3f5,5f1f1a5682d3740bf677ac6a,APPROVED,2023-01-12T11:31:36.721000Z,2023-01-12T12:09:44.251000Z,2023-01-12T16:40:15.160000,2023-01-12T12:09:44.711921Z,2288,377F04C1,172,27,Male,White,Poland,Poland,Poland,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
63bfef8b0a714293218ab089,5ed8efe9b03f8c40d2bae5be,APPROVED,2023-01-12T11:36:34.915000Z,2023-01-12T11:56:52.252000Z,2023-01-12T16:41:01.071000,2023-01-12T11:56:52.666098Z,1218,377F04C1,165,23,Male,White,Finland,Finland,Finland,Finnish,Yes,Part-Time
63c004527a1941b37839c982,5974ce5364b35a00019dd811,APPROVED,2023-01-12T13:00:26.224000Z,2023-01-12T13:21:56.741000Z,2023-01-12T16:41:04.155000,2023-01-12T13:21:57.425721Z,1291,377F04C1,918,23,Male,White,France,France,France,French,No,Full-Time
