session,is_bot,prolific_id,id_in_session,idx,round_number,multiplier,disclose,contribution,rt1,rt2,reward,payoff,total,individual_share,opp_multiplier,opp_disclose,opp_p_disclose,opp_contribution,opp_payoff,total_contribution
jpjzuvf1,0,5f31671e69023f000b0c0547,4,3,40,2.5,1,10,1264,3453,25.0,25.0,676.0,25.0,2.5,1,0.5,10,25.0,50.0
jpjzuvf1,1,6164b9e5d7dd59233b570c51,1,0,41,1.5,0,0,2839,3719,18.0,18.0,709.0,8.0,1.5,0,0.25,10,8.0,15.0
jpjzuvf1,0,6155d0cafa46f83b2716f453,2,1,41,1.5,1,0,5157,5836,18.0,18.0,700.0,8.0,1.5,0,0.25,10,8.0,15.0
jpjzuvf1,0,615ddbb6663eca2e59404f0d,3,2,41,2.5,0,10,3704,3801,20.0,20.0,718.0,20.0,1.5,1,1.0,10,20.0,40.0
jpjzuvf1,0,5f31671e69023f000b0c0547,4,3,41,2.5,1,10,1918,2585,25.0,25.0,701.0,25.0,2.5,1,0.5,10,25.0,50.0
jpjzuvf1,1,6164b9e5d7dd59233b570c51,1,0,42,1.5,0,0,3584,4068,18.0,18.0,727.0,8.0,1.5,0,0.25,10,8.0,15.0
jpjzuvf1,0,6155d0cafa46f83b2716f453,2,1,42,1.5,1,0,4056,5757,22.0,22.0,722.0,12.0,2.5,0,0.25,10,12.0,25.0
jpjzuvf1,0,615ddbb6663eca2e59404f0d,3,2,42,2.5,0,5,3716,5738,24.0,24.0,742.0,19.0,2.5,1,1.0,10,19.0,37.5
jpjzuvf1,0,5f31671e69023f000b0c0547,4,3,42,2.5,1,10,3088,4862,25.0,25.0,726.0,25.0,2.5,0,0.5,10,25.0,50.0
jpjzuvf1,1,6164b9e5d7dd59233b570c51,1,0,43,1.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
jpjzuvf1,0,6155d0cafa46f83b2716f453,2,1,43,1.5,1,0,3540,8113,10.0,10.0,732.0,0.0,1.5,0,0.25,0,10.0,0.0
jpjzuvf1,0,615ddbb6663eca2e59404f0d,3,2,43,2.5,1,1,3203,7020,18.0,18.0,760.0,9.0,1.5,1,1.0,10,9.0,17.5
jpjzuvf1,0,5f31671e69023f000b0c0547,4,3,43,2.5,1,10,2437,3232,12.0,12.0,738.0,12.0,1.5,0,0.5,0,22.0,25.0
jpjzuvf1,1,6164b9e5d7dd59233b570c51,1,0,44,1.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
jpjzuvf1,0,6155d0cafa46f83b2716f453,2,1,44,1.5,1,0,5342,5393,18.0,18.0,750.0,8.0,1.5,0,0.25,10,8.0,15.0
jpjzuvf1,0,615ddbb6663eca2e59404f0d,3,2,44,2.5,0,10,3481,5343,12.0,12.0,772.0,12.0,1.5,1,1.0,0,22.0,25.0
jpjzuvf1,0,5f31671e69023f000b0c0547,4,3,44,2.5,1,10,1389,3707,25.0,25.0,763.0,25.0,2.5,0,0.5,10,25.0,50.0
jpjzuvf1,1,6164b9e5d7dd59233b570c51,1,0,45,1.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
jpjzuvf1,0,6155d0cafa46f83b2716f453,2,1,45,1.5,1,0,4053,6380,10.0,10.0,760.0,0.0,1.5,0,0.25,0,10.0,0.0
jpjzuvf1,0,615ddbb6663eca2e59404f0d,3,2,45,2.5,0,8,4279,7183,20.0,20.0,792.0,18.0,1.5,1,1.0,10,18.0,35.0
jpjzuvf1,0,5f31671e69023f000b0c0547,4,3,45,2.5,1,10,1668,3644,25.0,25.0,788.0,25.0,2.5,0,0.5,10,25.0,50.0
jpjzuvf1,1,6164b9e5d7dd59233b570c51,1,0,46,1.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
jpjzuvf1,0,6155d0cafa46f83b2716f453,2,1,46,1.5,1,0,3780,5999,22.0,22.0,782.0,12.0,2.5,0,0.25,10,12.0,25.0
jpjzuvf1,0,615ddbb6663eca2e59404f0d,3,2,46,2.5,1,5,3082,4124,24.0,24.0,816.0,19.0,2.5,1,1.0,10,19.0,37.5
jpjzuvf1,0,5f31671e69023f000b0c0547,4,3,46,2.5,1,0,943,2656,22.0,22.0,810.0,12.0,2.5,0,0.5,10,12.0,25.0
jpjzuvf1,1,6164b9e5d7dd59233b570c51,1,0,47,1.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
jpjzuvf1,0,6155d0cafa46f83b2716f453,2,1,47,1.5,1,0,5213,9898,18.0,18.0,800.0,8.0,1.5,0,0.25,10,8.0,15.0
jpjzuvf1,0,615ddbb6663eca2e59404f0d,3,2,47,2.5,1,1,3646,6524,23.0,23.0,839.0,14.0,2.5,1,1.0,10,14.0,27.5
