session,is_bot,prolific_id,id_in_session,id_in_group,multiplier,disclose,contribution,rt1,rt2,payoff,total,round_number,individual_share,total_contribution,group_id,disclosure_group
7z3ijibl,1,5f5aa7a073b8271a0ab0947c,11,1,2.5,1,8,4431,13540,24.5,45.75,2,22.5,45.0,1110,2
7z3ijibl,0,608c2f0f1df309615f6f5b52,12,1,1.5,1,8,12430,17130,12.5,23.75,2,10.5,21.0,1114,1
7z3ijibl,0,607a981a8b7874690d597c0d,13,2,1.5,1,4,5729,8355,16.5,27.75,2,10.5,21.0,1101,1
7z3ijibl,0,60a1516dc132822469f45c55,14,2,2.5,1,10,7213,10392,23.75,37.75,2,23.75,47.5,1109,1
7z3ijibl,1,6008057b6fbeef0d476b756b,15,1,2.5,1,10,3627,4917,25.0,42.25,2,25.0,50.0,1106,2
7z3ijibl,0,608adf0cc8637f7f395352b1,16,1,1.5,0,6,3938,5940,12.25,23.25,2,8.25,16.5,1113,1
7z3ijibl,1,60199372bd48490e12a0d92e,17,1,2.5,1,10,5579,6809,25.0,41.0,2,25.0,50.0,1108,2
7z3ijibl,1,5dc0a28f27d05205683c8bb3,18,1,2.5,1,7,-1,-1,16.25,33.0,2,13.25,26.5,1103,1
7z3ijibl,1,5f591c6d75be841230aa6ced,19,2,1.5,1,4,7060,13631,16.5,34.0,2,10.5,21.0,1111,2
7z3ijibl,1,60a2d1593f270f92fa69305d,20,2,2.5,1,10,2882,3065,25.0,50.0,2,25.0,50.0,1108,2
7z3ijibl,1,5ea8010daf54da1e951b8861,21,2,2.5,1,10,2536,2491,22.5,47.5,2,22.5,45.0,1110,2
7z3ijibl,1,60256d8ad9b88a0cb709e65a,22,2,2.5,1,7,-1,-1,18.0,42.25,2,15.0,30.0,1105,1
7z3ijibl,1,60acb5d4727b993c9f32ee72,23,1,2.5,1,5,6491,7441,18.75,35.0,2,13.75,27.5,1107,2
7z3ijibl,0,5baf6705848bbd0001d6fc8a,24,2,1.5,0,6,12574,13551,17.25,31.25,2,13.25,26.5,1103,1
7z3ijibl,1,60185125a263080a4243e740,25,2,2.5,1,6,4769,7184,17.75,37.5,2,13.75,27.5,1107,1
7z3ijibl,1,5e4810c074edcc2b4f31ab83,26,2,1.5,1,6,-1,-1,16.0,30.25,2,12.0,24.0,1115,1
7z3ijibl,0,5cd7e678df739100011b1839,27,1,2.5,1,6,13862,13974,14.5,39.25,2,10.5,21.0,1101,1
7z3ijibl,1,600abec042ce9902cb63f0a2,28,2,1.5,1,4,4175,4582,9.0,30.25,2,3.0,6.0,1100,2
7z3ijibl,0,5ec3b9e83f187802a6aa041e,29,1,1.5,1,10,4380,5785,10.5,31.25,2,10.5,21.0,1111,1
7z3ijibl,1,607c788174ef9ae298722d37,30,1,1.5,1,7,-1,-1,8.25,20.25,2,5.25,10.5,1112,1
7z3ijibl,1,5f60713e595007000a8e1da7,31,1,2.5,1,7,3858,10473,19.25,43.0,2,16.25,32.5,1104,2
7z3ijibl,1,5f52237276d614488e847c1b,32,1,2.5,0,2,7395,7759,12.0,30.0,2,4.0,8.0,1099,2
7z3ijibl,1,609c35609e77fba7ec90ec1e,33,1,1.5,1,6,-1,-1,14.5,26.5,2,10.5,21.0,1116,1
7z3ijibl,1,5f563d4bc1684c0241b17264,34,1,1.5,1,10,1785,2643,12.0,28.25,2,12.0,24.0,1115,2
7z3ijibl,0,609101a8a29bc713a6bcdbba,35,2,1.5,1,6,8189,12395,14.5,28.5,2,10.5,21.0,1114,1
7z3ijibl,1,5a94a2b24eecca0001dd3c43,36,2,1.5,1,8,4914,11752,12.5,32.5,2,10.5,21.0,1116,2
7z3ijibl,1,576597499dcd970001dbdbe5,1,2,2.5,1,10,2053,3050,25.0,59.25,3,25.0,50.0,1126,2
7z3ijibl,0,60a90be1be2d42fba2368523,2,2,2.5,0,10,6188,7191,25.0,74.75,3,25.0,50.0,1128,1
7z3ijibl,1,5ce19c2090d2dc0015f86ca7,3,2,2.5,1,10,3255,3981,12.5,57.0,3,12.5,25.0,1125,2
7z3ijibl,1,5be03bf177e0190001b4ad0a,4,2,2.5,1,6,2280,8084,20.25,63.0,3,16.25,32.5,1123,2
7z3ijibl,0,5fbab1b8266280ad6e6e13c7,5,2,1.5,1,10,4112,15378,17.5,40.25,3,17.5,35.0,1117,1
7z3ijibl,1,581ccd016c73180001fa5b2a,6,1,1.5,1,10,3983,7328,13.5,41.0,3,13.5,27.0,1133,2
7z3ijibl,1,57843b986475d400015a8e45,7,2,1.5,1,5,1367,6267,14.75,48.5,3,9.75,19.5,1129,2
7z3ijibl,1,5eea1be10e95520beb9fa654,8,2,1.5,0,4,8727,8668,14.25,35.0,3,8.25,16.5,1134,2
7z3ijibl,0,5c0873675b32d500012e3f2c,9,1,1.5,1,7,6680,6856,11.25,39.5,3,8.25,16.5,1134,1
7z3ijibl,0,607c8faf6d8e98b09d585eb3,10,1,2.5,1,0,5365,5102,17.5,44.25,3,7.5,15.0,1122,1
7z3ijibl,1,5f5aa7a073b8271a0ab0947c,11,1,2.5,1,0,4844,7541,22.5,68.25,3,12.5,25.0,1125,2
7z3ijibl,0,608c2f0f1df309615f6f5b52,12,1,1.5,0,0,8309,14560,15.25,39.0,3,5.25,10.5,1131,1
7z3ijibl,0,607a981a8b7874690d597c0d,13,2,1.5,1,7,10489,4455,9.75,37.5,3,6.75,13.5,1130,1
7z3ijibl,0,60a1516dc132822469f45c55,14,1,2.5,1,7,5481,6869,11.75,49.5,3,8.75,17.5,1118,1
7z3ijibl,1,6008057b6fbeef0d476b756b,15,1,2.5,1,10,2302,2824,25.0,67.25,3,25.0,50.0,1127,2
7z3ijibl,0,608adf0cc8637f7f395352b1,16,2,1.5,1,10,5761,8996,18.75,42.0,3,18.75,37.5,1121,1
7z3ijibl,1,60199372bd48490e12a0d92e,17,2,2.5,1,10,4197,4042,25.0,66.0,3,25.0,50.0,1127,2
7z3ijibl,1,5dc0a28f27d05205683c8bb3,18,1,2.5,1,7,-1,-1,19.25,52.25,3,16.25,32.5,1124,1
7z3ijibl,1,5f591c6d75be841230aa6ced,19,2,1.5,1,0,3137,15421,18.75,52.75,3,8.75,17.5,1118,2
7z3ijibl,1,60a2d1593f270f92fa69305d,20,1,2.5,1,10,2238,2753,25.0,75.0,3,25.0,50.0,1126,2
