session,is_bot,prolific_id,id_in_session,id_in_group,multiplier,disclose,contribution,rt1,rt2,payoff,total,round_number,individual_share,total_contribution,group_id,disclosure_group
7z3ijibl,1,57843b986475d400015a8e45,7,1,1.5,1,7,848,1970,15.75,188.75,16,12.75,25.5,1368,2
7z3ijibl,1,5eea1be10e95520beb9fa654,8,1,1.5,1,10,2229,3671,7.5,181.75,16,7.5,15.0,1363,2
7z3ijibl,0,5c0873675b32d500012e3f2c,9,2,1.5,1,9,3126,6071,14.0,173.75,16,13.0,26.0,1352,1
7z3ijibl,0,607c8faf6d8e98b09d585eb3,10,1,2.5,0,0,2393,5369,16.25,219.5,16,6.25,12.5,1360,1
7z3ijibl,1,5f5aa7a073b8271a0ab0947c,11,2,2.5,1,5,1363,5625,11.25,265.75,16,6.25,12.5,1360,2
7z3ijibl,0,608c2f0f1df309615f6f5b52,12,1,1.5,1,10,7193,4522,15.0,171.0,16,15.0,30.0,1367,1
7z3ijibl,0,607a981a8b7874690d597c0d,13,2,1.5,1,6,7071,5871,21.0,222.75,16,17.0,34.0,1356,1
7z3ijibl,0,60a1516dc132822469f45c55,14,1,2.5,1,8,2405,2999,24.5,259.0,16,22.5,45.0,1358,1
7z3ijibl,1,6008057b6fbeef0d476b756b,15,1,2.5,1,10,1790,3614,12.5,266.25,16,12.5,25.0,1351,2
7z3ijibl,0,608adf0cc8637f7f395352b1,16,2,1.5,1,0,5542,2256,15.25,172.75,16,5.25,10.5,1366,1
7z3ijibl,1,60199372bd48490e12a0d92e,17,2,2.5,1,10,1677,4666,25.0,295.25,16,25.0,50.0,1359,2
7z3ijibl,1,5dc0a28f27d05205683c8bb3,18,1,2.5,-1,-1,-1,-1,-1.0,0.0,16,-1.0,-1.0,1353,1
7z3ijibl,1,5f591c6d75be841230aa6ced,19,2,1.5,1,0,1665,4515,17.5,196.5,16,7.5,15.0,1363,2
7z3ijibl,1,60a2d1593f270f92fa69305d,20,1,2.5,1,10,1848,3276,17.0,289.5,16,17.0,34.0,1356,2
7z3ijibl,1,5ea8010daf54da1e951b8861,21,1,2.5,1,5,1572,4492,18.0,267.75,16,13.0,26.0,1352,2
7z3ijibl,1,60256d8ad9b88a0cb709e65a,22,1,2.5,0,6,-1,-1,24.0,249.0,16,20.0,40.0,1361,1
7z3ijibl,1,60acb5d4727b993c9f32ee72,23,2,2.5,1,2,3496,2407,21.75,268.5,16,13.75,27.5,1357,2
7z3ijibl,0,5baf6705848bbd0001d6fc8a,24,1,1.5,0,7,3367,11508,8.25,166.5,16,5.25,10.5,1366,1
7z3ijibl,1,60185125a263080a4243e740,25,1,2.5,0,4,2951,4366,11.0,238.75,16,5.0,10.0,1355,1
7z3ijibl,1,5e4810c074edcc2b4f31ab83,26,2,1.5,1,6,-1,-1,10.0,147.75,16,6.0,12.0,1365,1
7z3ijibl,0,5cd7e678df739100011b1839,27,2,2.5,1,10,5963,6917,22.5,233.0,16,22.5,45.0,1358,1
7z3ijibl,1,600abec042ce9902cb63f0a2,28,1,1.5,1,2,2226,6894,14.0,186.0,16,6.0,12.0,1365,2
7z3ijibl,0,5ec3b9e83f187802a6aa041e,29,2,1.5,1,5,1911,5015,15.0,190.5,16,10.0,20.0,1354,1
7z3ijibl,1,607c788174ef9ae298722d37,30,2,1.5,-1,-1,-1,-1,-1.0,0.0,16,-1.0,-1.0,1353,1
7z3ijibl,1,5f60713e595007000a8e1da7,31,2,2.5,1,10,2087,1891,25.0,284.75,16,25.0,50.0,1362,2
7z3ijibl,1,5f52237276d614488e847c1b,32,2,2.5,1,10,1860,3397,20.0,262.5,16,20.0,40.0,1361,2
7z3ijibl,1,609c35609e77fba7ec90ec1e,33,2,1.5,1,6,-1,-1,10.0,159.0,16,6.0,12.0,1364,1
7z3ijibl,1,5f563d4bc1684c0241b17264,34,2,1.5,1,0,2382,4442,15.0,186.75,16,5.0,10.0,1355,2
7z3ijibl,0,609101a8a29bc713a6bcdbba,35,2,1.5,1,10,4772,4248,15.0,190.75,16,15.0,30.0,1367,1
7z3ijibl,1,5a94a2b24eecca0001dd3c43,36,2,1.5,1,0,2455,3431,22.5,189.75,16,12.5,25.0,1351,2
7z3ijibl,1,576597499dcd970001dbdbe5,1,1,2.5,1,6,4127,7893,16.0,282.0,17,12.0,24.0,1371,2
7z3ijibl,0,60a90be1be2d42fba2368523,2,2,2.5,1,10,6306,2331,22.5,287.25,17,22.5,45.0,1377,1
7z3ijibl,1,5ce19c2090d2dc0015f86ca7,3,1,2.5,1,8,1675,2706,24.5,282.0,17,22.5,45.0,1377,2
7z3ijibl,1,5be03bf177e0190001b4ad0a,4,1,2.5,1,10,2155,2139,14.0,266.75,17,14.0,28.0,1369,2
7z3ijibl,0,5fbab1b8266280ad6e6e13c7,5,2,1.5,0,10,2824,5205,15.0,202.75,17,15.0,30.0,1372,1
7z3ijibl,1,581ccd016c73180001fa5b2a,6,2,1.5,1,10,1959,2959,9.0,184.25,17,9.0,18.0,1386,2
7z3ijibl,1,57843b986475d400015a8e45,7,1,1.5,1,3,984,3111,12.25,201.0,17,5.25,10.5,1383,2
7z3ijibl,1,5eea1be10e95520beb9fa654,8,2,1.5,1,8,2092,3423,18.0,199.75,17,16.0,32.0,1370,2
7z3ijibl,0,5c0873675b32d500012e3f2c,9,1,1.5,1,8,2877,7100,8.0,181.75,17,6.0,12.0,1384,1
7z3ijibl,0,607c8faf6d8e98b09d585eb3,10,1,2.5,0,0,7874,4964,10.0,229.5,17,0.0,0.0,1374,1
7z3ijibl,1,5f5aa7a073b8271a0ab0947c,11,1,2.5,1,10,1771,3849,25.0,290.75,17,25.0,50.0,1380,2
7z3ijibl,0,608c2f0f1df309615f6f5b52,12,2,1.5,0,0,7147,4851,13.0,184.0,17,3.0,6.0,1382,1
7z3ijibl,0,607a981a8b7874690d597c0d,13,2,1.5,1,4,3950,8011,11.25,234.0,17,5.25,10.5,1383,1
7z3ijibl,0,60a1516dc132822469f45c55,14,1,2.5,1,8,2200,2633,12.75,271.75,17,10.75,21.5,1373,1
7z3ijibl,1,6008057b6fbeef0d476b756b,15,1,2.5,1,10,1696,3362,22.5,288.75,17,22.5,45.0,1378,2
7z3ijibl,0,608adf0cc8637f7f395352b1,16,2,1.5,1,0,1135,2107,10.0,182.75,17,0.0,0.0,1374,1
7z3ijibl,1,60199372bd48490e12a0d92e,17,2,2.5,1,10,2054,4798,25.0,320.25,17,25.0,50.0,1380,2
7z3ijibl,1,5dc0a28f27d05205683c8bb3,18,1,2.5,1,6,-1,-1,19.0,201.75,17,15.0,30.0,1372,1
7z3ijibl,1,5f591c6d75be841230aa6ced,19,2,1.5,1,0,8257,2357,16.0,212.5,17,6.0,12.0,1384,2
7z3ijibl,1,60a2d1593f270f92fa69305d,20,1,2.5,1,10,1356,2866,25.0,314.5,17,25.0,50.0,1375,2
7z3ijibl,1,5ea8010daf54da1e951b8861,21,1,2.5,1,10,1969,1975,13.75,281.5,17,13.75,27.5,1379,2
7z3ijibl,1,60256d8ad9b88a0cb709e65a,22,1,2.5,1,6,-1,-1,22.75,271.75,17,18.75,37.5,1376,1
7z3ijibl,1,60acb5d4727b993c9f32ee72,23,2,2.5,1,1,2299,2964,22.75,291.25,17,13.75,27.5,1379,2
7z3ijibl,0,5baf6705848bbd0001d6fc8a,24,2,1.5,1,2,4348,14519,22.0,188.5,17,14.0,28.0,1369,1
7z3ijibl,1,60185125a263080a4243e740,25,2,2.5,1,8,2219,3532,24.5,263.25,17,22.5,45.0,1378,1
7z3ijibl,1,5e4810c074edcc2b4f31ab83,26,1,1.5,1,6,-1,-1,16.0,163.75,17,12.0,24.0,1381,1
7z3ijibl,0,5cd7e678df739100011b1839,27,2,2.5,1,9,5011,6247,19.75,252.75,17,18.75,37.5,1376,1
7z3ijibl,1,600abec042ce9902cb63f0a2,28,1,1.5,1,2,1762,3487,17.0,203.0,17,9.0,18.0,1386,2
7z3ijibl,0,5ec3b9e83f187802a6aa041e,29,2,1.5,1,6,2427,5309,13.0,203.5,17,9.0,18.0,1385,1
7z3ijibl,1,607c788174ef9ae298722d37,30,1,1.5,1,6,-1,-1,13.0,143.0,17,9.0,18.0,1385,1
7z3ijibl,1,5f60713e595007000a8e1da7,31,2,2.5,1,10,1700,3299,25.0,309.75,17,25.0,50.0,1375,2
7z3ijibl,1,5f52237276d614488e847c1b,32,1,2.5,1,8,1928,2432,18.0,280.5,17,16.0,32.0,1370,2
7z3ijibl,1,609c35609e77fba7ec90ec1e,33,2,1.5,1,6,-1,-1,16.0,175.0,17,12.0,24.0,1371,1
7z3ijibl,1,5f563d4bc1684c0241b17264,34,1,1.5,1,4,4856,4615,9.0,195.75,17,3.0,6.0,1382,2
7z3ijibl,0,609101a8a29bc713a6bcdbba,35,2,1.5,1,10,6439,5979,12.0,202.75,17,12.0,24.0,1381,1
7z3ijibl,1,5a94a2b24eecca0001dd3c43,36,2,1.5,1,1,3240,7580,19.75,209.5,17,10.75,21.5,1373,2
7z3ijibl,1,576597499dcd970001dbdbe5,1,2,2.5,1,5,4315,8167,23.75,305.75,18,18.75,37.5,1397,2
7z3ijibl,0,60a90be1be2d42fba2368523,2,2,2.5,1,10,2095,5299,20.0,307.25,18,20.0,40.0,1398,1
7z3ijibl,1,5ce19c2090d2dc0015f86ca7,3,2,2.5,1,8,2330,3967,24.5,306.5,18,22.5,45.0,1394,2
7z3ijibl,1,5be03bf177e0190001b4ad0a,4,1,2.5,1,10,3925,3926,18.75,285.5,18,18.75,37.5,1397,2
7z3ijibl,0,5fbab1b8266280ad6e6e13c7,5,2,1.5,1,10,4187,3684,20.0,222.75,18,20.0,40.0,1390,1
7z3ijibl,1,581ccd016c73180001fa5b2a,6,2,1.5,1,10,1979,3667,20.0,204.25,18,20.0,40.0,1387,2
7z3ijibl,1,57843b986475d400015a8e45,7,1,1.5,1,8,820,1615,11.75,212.75,18,9.75,19.5,1400,2
7z3ijibl,1,5eea1be10e95520beb9fa654,8,2,1.5,1,10,1644,5743,11.25,211.0,18,11.25,22.5,1403,2
7z3ijibl,0,5c0873675b32d500012e3f2c,9,1,1.5,1,7,6230,4099,12.75,194.5,18,9.75,19.5,1402,1
7z3ijibl,0,607c8faf6d8e98b09d585eb3,10,2,2.5,0,0,2540,4727,18.75,248.25,18,8.75,17.5,1393,1
7z3ijibl,1,5f5aa7a073b8271a0ab0947c,11,1,2.5,1,6,5580,3702,16.0,306.75,18,12.0,24.0,1388,2
7z3ijibl,0,608c2f0f1df309615f6f5b52,12,1,1.5,0,3,8162,8497,9.25,193.25,18,2.25,4.5,1404,1
7z3ijibl,0,607a981a8b7874690d597c0d,13,2,1.5,1,7,5579,3582,15.75,249.75,18,12.75,25.5,1389,1
7z3ijibl,0,60a1516dc132822469f45c55,14,1,2.5,1,10,8876,1898,20.0,291.75,18,20.0,40.0,1387,1
7z3ijibl,1,6008057b6fbeef0d476b756b,15,1,2.5,1,10,1657,2811,20.0,308.75,18,20.0,40.0,1390,2
7z3ijibl,0,608adf0cc8637f7f395352b1,16,2,1.5,1,10,1261,2362,17.5,200.25,18,17.5,35.0,1391,1
7z3ijibl,1,60199372bd48490e12a0d92e,17,1,2.5,1,7,1625,4959,11.75,332.0,18,8.75,17.5,1393,2
7z3ijibl,1,5dc0a28f27d05205683c8bb3,18,1,2.5,1,6,-1,-1,16.75,218.5,18,12.75,25.5,1389,1
7z3ijibl,1,5f591c6d75be841230aa6ced,19,1,1.5,1,0,1293,2435,13.75,226.25,18,3.75,7.5,1399,2
7z3ijibl,1,60a2d1593f270f92fa69305d,20,2,2.5,1,10,2295,2955,21.25,335.75,18,21.25,42.5,1395,2
7z3ijibl,1,5ea8010daf54da1e951b8861,21,1,2.5,1,10,1644,1849,22.5,304.0,18,22.5,45.0,1394,2
7z3ijibl,1,60256d8ad9b88a0cb709e65a,22,1,2.5,1,6,-1,-1,24.0,295.75,18,20.0,40.0,1398,1
7z3ijibl,1,60acb5d4727b993c9f32ee72,23,1,2.5,1,1,1840,4317,14.75,306.0,18,5.75,11.5,1392,2
7z3ijibl,0,5baf6705848bbd0001d6fc8a,24,1,1.5,0,6,3237,8042,12.25,200.75,18,8.25,16.5,1401,1
7z3ijibl,1,60185125a263080a4243e740,25,2,2.5,0,3,4497,7502,19.5,282.75,18,12.5,25.0,1396,1
7z3ijibl,1,5e4810c074edcc2b4f31ab83,26,2,1.5,1,6,-1,-1,13.75,177.5,18,9.75,19.5,1402,1
7z3ijibl,0,5cd7e678df739100011b1839,27,1,2.5,1,7,3905,8307,24.25,277.0,18,21.25,42.5,1395,1
7z3ijibl,1,600abec042ce9902cb63f0a2,28,2,1.5,1,5,16208,3340,8.75,211.75,18,3.75,7.5,1399,2
7z3ijibl,0,5ec3b9e83f187802a6aa041e,29,2,1.5,1,5,1766,5237,14.75,218.25,18,9.75,19.5,1400,1
7z3ijibl,1,607c788174ef9ae298722d37,30,2,1.5,1,6,-1,-1,16.0,159.0,18,12.0,24.0,1388,1
7z3ijibl,1,5f60713e595007000a8e1da7,31,1,2.5,1,7,2633,7635,15.5,325.25,18,12.5,25.0,1396,2
7z3ijibl,1,5f52237276d614488e847c1b,32,1,2.5,1,8,7448,5782,19.5,300.0,18,17.5,35.0,1391,2
7z3ijibl,1,609c35609e77fba7ec90ec1e,33,2,1.5,1,6,-1,-1,9.75,184.75,18,5.75,11.5,1392,1
7z3ijibl,1,5f563d4bc1684c0241b17264,34,1,1.5,1,5,3702,2766,16.25,212.0,18,11.25,22.5,1403,2
7z3ijibl,0,609101a8a29bc713a6bcdbba,35,2,1.5,0,5,3200,4683,13.25,216.0,18,8.25,16.5,1401,1
7z3ijibl,1,5a94a2b24eecca0001dd3c43,36,2,1.5,1,0,1807,5667,12.25,221.75,18,2.25,4.5,1404,2
7z3ijibl,1,576597499dcd970001dbdbe5,1,1,2.5,1,10,4915,5839,22.5,328.25,19,22.5,45.0,1412,2
7z3ijibl,0,60a90be1be2d42fba2368523,2,1,2.5,1,10,5072,11717,12.5,319.75,19,12.5,25.0,1407,1
7z3ijibl,1,5ce19c2090d2dc0015f86ca7,3,1,2.5,1,5,2788,3588,16.5,323.0,19,11.5,23.0,1410,2
7z3ijibl,1,5be03bf177e0190001b4ad0a,4,1,2.5,1,0,2059,4026,10.0,295.5,19,0.0,0.0,1413,2
7z3ijibl,0,5fbab1b8266280ad6e6e13c7,5,2,1.5,1,5,2089,3737,14.0,236.75,19,9.0,18.0,1418,1
7z3ijibl,1,581ccd016c73180001fa5b2a,6,1,1.5,1,10,2381,3806,15.0,219.25,19,15.0,30.0,1417,2
7z3ijibl,1,57843b986475d400015a8e45,7,1,1.5,1,3,1760,2188,12.25,225.0,19,5.25,10.5,1419,2
7z3ijibl,1,5eea1be10e95520beb9fa654,8,2,1.5,1,10,1202,3056,15.0,226.0,19,15.0,30.0,1417,2
7z3ijibl,0,5c0873675b32d500012e3f2c,9,2,1.5,0,4,4499,7058,11.25,205.75,19,5.25,10.5,1419,1
7z3ijibl,0,607c8faf6d8e98b09d585eb3,10,1,2.5,0,0,3335,5102,16.25,264.5,19,6.25,12.5,1415,1
7z3ijibl,1,5f5aa7a073b8271a0ab0947c,11,1,2.5,1,10,3288,3804,25.0,331.75,19,25.0,50.0,1414,2
7z3ijibl,0,608c2f0f1df309615f6f5b52,12,2,1.5,1,10,2334,3299,13.5,206.75,19,13.5,27.0,1422,1
7z3ijibl,0,607a981a8b7874690d597c0d,13,1,1.5,1,5,11547,6753,8.75,258.5,19,3.75,7.5,1421,1
7z3ijibl,0,60a1516dc132822469f45c55,14,2,2.5,1,5,2151,7692,11.25,303.0,19,6.25,12.5,1415,1
7z3ijibl,1,6008057b6fbeef0d476b756b,15,2,2.5,1,8,1171,2602,24.5,333.25,19,22.5,45.0,1412,2
7z3ijibl,0,608adf0cc8637f7f395352b1,16,1,1.5,1,8,2611,4944,15.5,215.75,19,13.5,27.0,1422,1
7z3ijibl,1,60199372bd48490e12a0d92e,17,2,2.5,0,0,1915,2991,10.0,342.0,19,0.0,0.0,1413,2
7z3ijibl,1,5dc0a28f27d05205683c8bb3,18,1,2.5,-1,-1,-1,-1,-1.0,0.0,19,-1.0,-1.0,1408,1
7z3ijibl,1,5f591c6d75be841230aa6ced,19,2,1.5,1,0,1412,5541,13.75,240.0,19,3.75,7.5,1421,2
7z3ijibl,1,60a2d1593f270f92fa69305d,20,2,2.5,1,10,1224,7968,25.0,360.75,19,25.0,50.0,1414,2
7z3ijibl,1,5ea8010daf54da1e951b8861,21,1,2.5,1,10,2684,2477,13.75,317.75,19,13.75,27.5,1411,2
7z3ijibl,1,60256d8ad9b88a0cb709e65a,22,1,2.5,-1,-1,-1,-1,-1.0,0.0,19,-1.0,-1.0,1405,1
7z3ijibl,1,60acb5d4727b993c9f32ee72,23,2,2.5,1,1,2302,3140,22.75,328.75,19,13.75,27.5,1411,2
7z3ijibl,0,5baf6705848bbd0001d6fc8a,24,2,1.5,0,5,3334,3785,8.75,209.5,19,3.75,7.5,1409,1
7z3ijibl,1,60185125a263080a4243e740,25,1,2.5,1,8,2949,2770,24.5,307.25,19,22.5,45.0,1416,1
7z3ijibl,1,5e4810c074edcc2b4f31ab83,26,2,1.5,1,7,-1,-1,14.5,192.0,19,11.5,23.0,1410,1
7z3ijibl,0,5cd7e678df739100011b1839,27,1,2.5,0,0,4907,7074,13.75,290.75,19,3.75,7.5,1409,1
7z3ijibl,1,600abec042ce9902cb63f0a2,28,1,1.5,1,5,1663,2361,16.25,228.0,19,11.25,22.5,1420,2
7z3ijibl,0,5ec3b9e83f187802a6aa041e,29,2,1.5,1,4,1810,3463,17.75,236.0,19,11.75,23.5,1406,1
7z3ijibl,1,607c788174ef9ae298722d37,30,2,1.5,-1,-1,-1,-1,-1.0,0.0,19,-1.0,-1.0,1405,1
7z3ijibl,1,5f60713e595007000a8e1da7,31,1,2.5,1,7,1854,3744,14.75,340.0,19,11.75,23.5,1406,2
7z3ijibl,1,5f52237276d614488e847c1b,32,2,2.5,1,10,3036,4077,22.5,322.5,19,22.5,45.0,1416,2
7z3ijibl,1,609c35609e77fba7ec90ec1e,33,2,1.5,-1,-1,-1,-1,-1.0,0.0,19,-1.0,-1.0,1408,1
7z3ijibl,1,5f563d4bc1684c0241b17264,34,2,1.5,1,10,4586,3284,11.25,223.25,19,11.25,22.5,1420,2
7z3ijibl,0,609101a8a29bc713a6bcdbba,35,1,1.5,1,7,4295,5102,12.0,228.0,19,9.0,18.0,1418,1
7z3ijibl,1,5a94a2b24eecca0001dd3c43,36,2,1.5,1,0,2164,3733,22.5,244.25,19,12.5,25.0,1407,2
7z3ijibl,1,576597499dcd970001dbdbe5,1,1,2.5,1,8,1469,6623,15.75,344.0,20,13.75,27.5,1433,2
7z3ijibl,0,60a90be1be2d42fba2368523,2,1,2.5,1,10,6881,3406,25.0,344.75,20,25.0,50.0,1431,1
7z3ijibl,1,5ce19c2090d2dc0015f86ca7,3,1,2.5,1,8,1198,4129,20.75,343.75,20,18.75,37.5,1429,2
7z3ijibl,1,5be03bf177e0190001b4ad0a,4,2,2.5,1,10,2691,2632,13.75,309.25,20,13.75,27.5,1434,2
7z3ijibl,0,5fbab1b8266280ad6e6e13c7,5,1,1.5,1,7,2987,3670,8.25,245.0,20,5.25,10.5,1436,1
7z3ijibl,1,581ccd016c73180001fa5b2a,6,2,1.5,1,10,2661,2955,11.25,230.5,20,11.25,22.5,1438,2
7z3ijibl,1,57843b986475d400015a8e45,7,2,1.5,0,10,983,3098,11.25,236.25,20,11.25,22.5,1440,2
7z3ijibl,1,5eea1be10e95520beb9fa654,8,2,1.5,1,10,2818,4864,7.5,233.5,20,7.5,15.0,1424,2
7z3ijibl,0,5c0873675b32d500012e3f2c,9,1,1.5,1,5,3395,9069,16.25,222.0,20,11.25,22.5,1440,1
7z3ijibl,0,607c8faf6d8e98b09d585eb3,10,2,2.5,0,0,1909,4306,16.25,280.75,20,6.25,12.5,1432,1
7z3ijibl,1,5f5aa7a073b8271a0ab0947c,11,1,2.5,1,4,1306,6920,18.5,350.25,20,12.5,25.0,1430,2
7z3ijibl,0,608c2f0f1df309615f6f5b52,12,2,1.5,1,0,5580,4540,15.25,222.0,20,5.25,10.5,1436,1
7z3ijibl,0,607a981a8b7874690d597c0d,13,2,1.5,1,3,9256,2935,9.25,267.75,20,2.25,4.5,1439,1
7z3ijibl,0,60a1516dc132822469f45c55,14,2,2.5,1,3,1893,3988,20.75,323.75,20,13.75,27.5,1433,1
7z3ijibl,1,6008057b6fbeef0d476b756b,15,1,2.5,1,10,3325,1905,17.0,350.25,20,17.0,34.0,1428,2
7z3ijibl,0,608adf0cc8637f7f395352b1,16,2,1.5,1,10,1192,1598,11.25,227.0,20,11.25,22.5,1437,1
7z3ijibl,1,60199372bd48490e12a0d92e,17,1,2.5,1,10,1831,3769,14.75,356.75,20,14.75,29.5,1427,2
7z3ijibl,1,5dc0a28f27d05205683c8bb3,18,1,2.5,0,6,-1,-1,16.0,234.5,20,12.0,24.0,1426,1
7z3ijibl,1,5f591c6d75be841230aa6ced,19,1,1.5,1,0,1835,4041,12.25,252.25,20,2.25,4.5,1439,2
7z3ijibl,1,60a2d1593f270f92fa69305d,20,1,2.5,1,10,1594,2806,14.75,375.5,20,14.75,29.5,1425,2
7z3ijibl,1,5ea8010daf54da1e951b8861,21,1,2.5,1,1,1277,3337,22.75,340.5,20,13.75,27.5,1434,2
7z3ijibl,1,60256d8ad9b88a0cb709e65a,22,2,2.5,0,6,-1,-1,16.5,312.25,20,12.5,25.0,1430,1
7z3ijibl,1,60acb5d4727b993c9f32ee72,23,1,2.5,1,0,2309,4026,17.5,346.25,20,7.5,15.0,1424,2
7z3ijibl,0,5baf6705848bbd0001d6fc8a,24,2,1.5,0,3,2779,4113,21.75,231.25,20,14.75,29.5,1425,1
7z3ijibl,1,60185125a263080a4243e740,25,2,2.5,1,7,3044,4629,21.75,329.0,20,18.75,37.5,1429,1
7z3ijibl,1,5e4810c074edcc2b4f31ab83,26,2,1.5,1,6,-1,-1,21.0,213.0,20,17.0,34.0,1428,1
7z3ijibl,0,5cd7e678df739100011b1839,27,1,2.5,1,5,3746,7625,11.25,302.0,20,6.25,12.5,1432,1
7z3ijibl,1,600abec042ce9902cb63f0a2,28,1,1.5,1,5,1810,3369,16.25,244.25,20,11.25,22.5,1438,2
7z3ijibl,0,5ec3b9e83f187802a6aa041e,29,1,1.5,1,5,1675,3209,16.25,252.25,20,11.25,22.5,1437,1
7z3ijibl,1,607c788174ef9ae298722d37,30,2,1.5,1,6,-1,-1,13.0,172.0,20,9.0,18.0,1435,1
7z3ijibl,1,5f60713e595007000a8e1da7,31,2,2.5,1,10,2798,1976,25.0,365.0,20,25.0,50.0,1431,2
7z3ijibl,1,5f52237276d614488e847c1b,32,1,2.5,1,6,1326,5902,16.0,338.5,20,12.0,24.0,1423,2
7z3ijibl,1,609c35609e77fba7ec90ec1e,33,2,1.5,1,6,-1,-1,16.0,200.75,20,12.0,24.0,1423,1
7z3ijibl,1,5f563d4bc1684c0241b17264,34,1,1.5,1,6,2823,4058,13.0,236.25,20,9.0,18.0,1435,2
7z3ijibl,0,609101a8a29bc713a6bcdbba,35,2,1.5,1,6,4310,6437,16.0,244.0,20,12.0,24.0,1426,1
7z3ijibl,1,5a94a2b24eecca0001dd3c43,36,2,1.5,1,3,2172,5268,21.75,266.0,20,14.75,29.5,1427,2
7z3ijibl,1,576597499dcd970001dbdbe5,1,2,2.5,1,10,4609,7630,25.0,369.0,21,25.0,50.0,1447,2
7z3ijibl,0,60a90be1be2d42fba2368523,2,1,2.5,1,10,7533,5018,18.5,363.25,21,18.5,37.0,1443,1
7z3ijibl,1,5ce19c2090d2dc0015f86ca7,3,1,2.5,1,0,1312,3379,15.0,358.75,21,5.0,10.0,1449,2
7z3ijibl,1,5be03bf177e0190001b4ad0a,4,1,2.5,1,10,1551,2971,25.0,334.25,21,25.0,50.0,1447,2
7z3ijibl,0,5fbab1b8266280ad6e6e13c7,5,2,1.5,1,10,5198,3482,7.5,252.5,21,7.5,15.0,1446,1
7z3ijibl,1,581ccd016c73180001fa5b2a,6,1,1.5,1,10,2559,3570,11.25,241.75,21,11.25,22.5,1457,2
7z3ijibl,1,57843b986475d400015a8e45,7,2,1.5,1,5,1510,1435,15.5,251.75,21,10.5,21.0,1458,2
7z3ijibl,1,5eea1be10e95520beb9fa654,8,1,1.5,1,9,2214,8389,11.5,245.0,21,10.5,21.0,1458,2
7z3ijibl,0,5c0873675b32d500012e3f2c,9,2,1.5,1,7,3457,4397,13.5,235.5,21,10.5,21.0,1453,1
7z3ijibl,0,607c8faf6d8e98b09d585eb3,10,1,2.5,0,0,1935,3500,17.5,298.25,21,7.5,15.0,1448,1
7z3ijibl,1,5f5aa7a073b8271a0ab0947c,11,1,2.5,1,10,9447,6413,13.75,364.0,21,13.75,27.5,1451,2
7z3ijibl,0,608c2f0f1df309615f6f5b52,12,2,1.5,1,0,2054,3396,10.0,232.0,21,0.0,0.0,1456,1
7z3ijibl,0,607a981a8b7874690d597c0d,13,2,1.5,1,0,4133,5494,22.5,290.25,21,12.5,25.0,1442,1
7z3ijibl,0,60a1516dc132822469f45c55,14,2,2.5,1,1,4671,4893,22.75,346.5,21,13.75,27.5,1451,1
7z3ijibl,1,6008057b6fbeef0d476b756b,15,1,2.5,1,9,1533,3375,15.25,365.5,21,14.25,28.5,1445,2
7z3ijibl,0,608adf0cc8637f7f395352b1,16,2,1.5,1,8,5294,4849,20.5,247.5,21,18.5,37.0,1443,1
7z3ijibl,1,60199372bd48490e12a0d92e,17,1,2.5,1,10,1634,3183,20.0,376.75,21,20.0,40.0,1450,2
7z3ijibl,1,5dc0a28f27d05205683c8bb3,18,1,2.5,1,6,-1,-1,24.0,258.5,21,20.0,40.0,1452,1
7z3ijibl,1,5f591c6d75be841230aa6ced,19,1,1.5,1,0,2339,3602,10.0,262.25,21,0.0,0.0,1456,2
7z3ijibl,1,60a2d1593f270f92fa69305d,20,1,2.5,1,10,1618,5352,12.5,388.0,21,12.5,25.0,1442,2
7z3ijibl,1,5ea8010daf54da1e951b8861,21,1,2.5,1,10,1601,2804,16.25,356.75,21,16.25,32.5,1444,2
7z3ijibl,1,60256d8ad9b88a0cb709e65a,22,2,2.5,1,6,-1,-1,24.0,336.25,21,20.0,40.0,1450,1
7z3ijibl,1,60acb5d4727b993c9f32ee72,23,1,2.5,1,0,1789,2863,17.5,363.75,21,7.5,15.0,1446,2
7z3ijibl,0,5baf6705848bbd0001d6fc8a,24,2,1.5,0,4,3305,3344,13.5,244.75,21,7.5,15.0,1454,1
7z3ijibl,1,60185125a263080a4243e740,25,2,2.5,0,4,2125,5386,11.0,340.0,21,5.0,10.0,1449,1
7z3ijibl,1,5e4810c074edcc2b4f31ab83,26,2,1.5,1,6,-1,-1,12.25,225.25,21,8.25,16.5,1455,1
7z3ijibl,0,5cd7e678df739100011b1839,27,1,2.5,1,6,4491,9906,16.0,318.0,21,12.0,24.0,1441,1
7z3ijibl,1,600abec042ce9902cb63f0a2,28,2,1.5,1,5,1324,3116,21.25,265.5,21,16.25,32.5,1444,2
7z3ijibl,0,5ec3b9e83f187802a6aa041e,29,2,1.5,1,5,2268,3439,16.25,268.5,21,11.25,22.5,1457,1
7z3ijibl,1,607c788174ef9ae298722d37,30,1,1.5,1,6,-1,-1,11.5,183.5,21,7.5,15.0,1454,1
7z3ijibl,1,5f60713e595007000a8e1da7,31,2,2.5,1,10,1758,1955,20.0,385.0,21,20.0,40.0,1452,2
7z3ijibl,1,5f52237276d614488e847c1b,32,2,2.5,1,6,1779,6753,11.5,350.0,21,7.5,15.0,1448,2
